CohortMonth,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2023-01,100.0,47.4,52.6,52.6,36.8,36.8,36.8,31.6,36.8,26.3,42.1,31.6,10.5,15.8,21.099999999999998,10.5,21.099999999999998,21.099999999999998,,10.5,,10.5,15.8,5.3
2023-02,100.0,61.3,48.4,48.4,48.4,45.2,45.2,41.9,48.4,41.9,35.5,19.400000000000002,19.400000000000002,19.400000000000002,28.999999999999996,25.8,28.999999999999996,28.999999999999996,16.1,22.6,16.1,6.5,12.9,
2023-03,100.0,51.7,34.5,44.800000000000004,27.6,41.4,34.5,27.6,27.6,37.9,24.099999999999998,20.7,17.2,17.2,20.7,10.299999999999999,17.2,13.8,17.2,10.299999999999999,10.299999999999999,3.4000000000000004,,
2023-04,100.0,56.2,45.800000000000004,50.0,35.4,41.699999999999996,37.5,37.5,29.2,25.0,16.7,20.8,16.7,27.1,22.900000000000002,6.2,8.3,8.3,4.2,10.4,6.2,,,
2023-05,100.0,44.4,44.4,35.199999999999996,24.099999999999998,29.599999999999998,16.7,22.2,29.599999999999998,24.099999999999998,18.5,20.4,20.4,18.5,9.3,16.7,11.1,13.0,7.3999999999999995,3.6999999999999997,,,,
2023-06,100.0,62.5,37.5,41.699999999999996,29.2,39.6,37.5,29.2,25.0,25.0,31.2,25.0,14.6,16.7,6.2,20.8,4.2,12.5,10.4,,,,,
2023-07,100.0,43.9,45.6,42.1,26.3,31.6,26.3,24.6,17.5,21.099999999999998,15.8,10.5,12.3,10.5,1.7999999999999998,8.799999999999999,5.3,3.5000000000000004,,,,,,
2023-08,100.0,46.9,51.0,57.099999999999994,36.7,34.699999999999996,28.599999999999998,32.7,24.5,24.5,22.400000000000002,22.400000000000002,10.2,10.2,16.3,10.2,6.1,,,,,,,
2023-09,100.0,57.99999999999999,38.0,44.0,38.0,28.000000000000004,28.000000000000004,28.000000000000004,24.0,10.0,14.000000000000002,20.0,12.0,12.0,4.0,10.0,,,,,,,,
2023-10,100.0,50.0,34.2,47.4,28.9,23.7,23.7,13.200000000000001,10.5,10.5,15.8,13.200000000000001,13.200000000000001,13.200000000000001,10.5,,,,,,,,,
2023-11,100.0,42.199999999999996,48.9,37.8,33.300000000000004,26.700000000000003,26.700000000000003,26.700000000000003,22.2,8.9,11.1,4.3999999999999995,8.9,4.3999999999999995,,,,,,,,,,
2023-12,100.0,54.2,47.9,39.6,37.5,29.2,35.4,29.2,20.8,12.5,12.5,12.5,6.2,,,,,,,,,,,
2024-01,100.0,57.099999999999994,36.5,46.0,36.5,36.5,22.2,19.0,9.5,12.7,9.5,6.3,,,,,,,,,,,,
2024-02,100.0,53.1,44.9,40.8,44.9,38.800000000000004,18.4,24.5,18.4,16.3,12.2,,,,,,,,,,,,,
2024-03,100.0,50.0,44.2,36.5,38.5,23.1,23.1,13.5,15.4,7.7,,,,,,,,,,,,,,
2024-04,100.0,50.8,41.0,47.5,39.300000000000004,21.3,18.0,21.3,11.5,,,,,,,,,,,,,,,
2024-05,100.0,53.2,46.800000000000004,36.199999999999996,25.5,23.400000000000002,23.400000000000002,12.8,,,,,,,,,,,,,,,,
2024-06,100.0,56.2,52.1,31.2,33.300000000000004,16.7,10.4,,,,,,,,,,,,,,,,,
2024-07,100.0,64.5,56.49999999999999,41.9,30.599999999999998,25.8,,,,,,,,,,,,,,,,,,
2024-08,100.0,53.7,41.5,29.299999999999997,22.0,,,,,,,,,,,,,,,,,,,
2024-09,100.0,70.19999999999999,42.1,31.6,,,,,,,,,,,,,,,,,,,,
2024-10,100.0,67.2,47.8,,,,,,,,,,,,,,,,,,,,,
2024-11,100.0,65.60000000000001,,,,,,,,,,,,,,,,,,,,,,
2024-12,100.0,,,,,,,,,,,,,,,,,,,,,,,
